Продукт,Белки,Жиры,Углеводы,Калорийность
Колбаски Мираторг Чевапчичи Black Angus,12.0,35.0,0.0,360
Колбаски Мираторг Чевапчичи из свинины по-домашнему,10.0,32.0,0.0,330
Колбаски Петруха Мастер из мяса цыплят-бройлеров оригинальные,16.0,18.0,0.0,230
Колбаски полукопченые Дымов охотничьи,25.7,40.0,0.0,463
Колбаски полукопченые Окраина охотничьи,14.0,46.0,0.0,470
Колбаски полукопченые охотничьи,27.4,24.3,0.0,326
Колбаски Рублёвский Имеретинские для жарки,12.0,17.0,0.3,220
Колбаски рубленые Троекурово с пряными травами,15.0,10.0,0.0,150
Колбаски рубленые Черкизово из свинины для жарки,15.0,33.0,2.0,365
Колбаски сырокопченые Дымов Пиколини Дижонская горчица,18.0,50.0,0.0,520
Колбаски сырокопченые Дымов Пиколини Пармезан,18.0,50.0,0.0,520
Колбаски сырокопченые Дымов Пиколини Хамон,18.0,50.0,0.0,520
Колбаски сырокопченые Ремит Kabanos Chicken,25.0,35.0,3.0,430
Колбаски сырокопченые Ремит Kabanos Chili,25.0,35.0,2.5,440
Кровянка,9.0,19.5,14.5,274
Купаты Боярские Индилайт,11.0,34.0,0.0,350
Салями,21.6,53.7,1.4,568
Сардельки говяжьи,11.4,18.2,1.5,215
Сардельки молочные из мяса птицы охлажденные,11.0,19.0,2.6,226
Сардельки Пикантные Vego постные,16.0,17.0,7.0,255
Сардельки свиные,10.1,31.6,1.9,332
Сосиски Баварские Стародворье,11.0,17.0,0.0,197
Сосиски Боярские Усольский свинокомплекс,6.0,27.0,3.0,280
Сосиски Вего Vego Чикен,19.0,12.0,3.5,194
Сосиски говяжьи,10.4,20.1,0.8,226
Сосиски Детям Великолукский МК,12.0,22.0,0.0,250
Сосиски докторские Велком,12.0,20.0,0.0,230
Сосиски из филе индейки Самокат,8.0,9.5,2.0,126
Сосиски классические с молоком Черкашин и Партнёръ,11.0,16.0,0.0,196
Сосиски куриные,10.8,22.4,4.2,259
Сосиски любительские,9.0,29.5,0.7,304
Сосиски молочные,11.0,23.9,1.6,266
Сосиски молочные Мясницкий ряд,11.0,28.0,0.0,296
Сосиски молочные Черкашин и Партнёръ,11.0,28.0,0.0,296
Сосиски Нежные Vego Миньон постные,11.0,10.0,6.5,160
Сосиски Нежные Высший Вкус постные,18.1,7.2,10.8,180
Сосиски особые,11.8,24.7,0.0,270
Сосиски Российские Дым Дымыч,12.0,25.0,4.0,289
Сосиски Рублёвский Альпийские белые с петрушкой,12.0,18.0,0.0,210
Сосиски русские,11.3,22.0,0.0,243
Сосиски с говядиной Дым Дымыч,11.0,25.0,4.0,285
Сосиски свиные,9.5,34.3,0.0,342
Сосиски Сливушки Вязанка,12.0,16.0,0.0,190
Сосиски Щедрая Сибирь,12.0,16.0,5.0,212
Шпикачки,10.0,33.0,0.0,337
Амарант,13.6,7.0,69.0,371
Амарантовые отруби Di&Di с гречей,19.0,5.5,55.0,345
Амарантовые отруби Di&Di с ламинарией,20.4,5.1,37.0,311
Амарантовые отруби Di&Di с топинамбуром,19.0,5.5,55.0,345
Булгур,12.3,1.3,57.6,342
Булгур Yelli с белыми грибами,14.0,2.0,64.0,330
Булгур Готово! с овощами,13.0,1.5,67.0,330
Булгур Мистраль,14.2,1.1,73.4,343
Булгур приготовленный,3.1,0.2,14.1,83
"Гарнир Националь бурый рис, киноа и семена льна",9.3,8.2,68.6,385
"Гарнир Националь рис, киноа, тыква",10.6,8.6,67.3,389
Горох Makfa дробленый в пакетиках,23.0,1.5,48.1,299
Горох Makfa колотый,23.0,1.5,48.1,299
Горох Агро-Альянс колотый,23.0,1.0,62.0,350
Горох маш Ярмарка Платинум,23.5,2.0,50.0,312
Горох Мистраль Айдахо,20.8,1.4,55.2,317
Горох Мистраль Орегон,20.0,1.5,66.4,327
Горох Пассим колотый,23.0,1.6,48.1,299
Горох Увелка колотый,20.0,2.0,67.0,360
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые,7.2,5.0,76.2,400
Гречка Yelli с белыми грибами,13.0,3.5,52.0,290
Гречка зелёная вареная,4.0,1.0,21.0,110
Гречка зелёная для проращивания,10.8,3.2,54.4,295
Гречневая каша вязкая на воде,3.2,0.8,17.1,90
Гречневая каша из крупы ядрица,3.0,3.4,14.6,101
Гречневая каша на молоке,4.2,2.3,21.6,118
Гречневая каша с маслом,4.5,2.3,25.0,132
Гречневая крупа (продел),9.5,2.3,65.9,306
Гречневая крупа (ядрица),12.6,3.3,62.1,313
Гречневая крупа (ядрица) зелёная,10.8,3.2,56.0,296
Гречневая крупа Агро-Альянс Элитная,13.0,3.0,68.0,350
Гречневая крупа Мистраль зеленая,13.4,3.0,68.0,328
Гречневая крупа Мистраль ядрица,13.6,3.3,65.0,353
Гречневая крупа Пассим Алтайская,12.6,2.6,68.0,329
Гречневая манка Гарнец безглютеновая,12.5,2.5,70.0,350
Гречневые хлопья,9.0,2.4,67.0,330
Гречневые хлопья Makfa,8.0,3.0,79.0,375
Гречневые хлопья Myllyn Paras,13.0,1.7,67.5,340
Гречневые хлопья Myllyn Paras для каши,13.0,1.7,67.5,340
Гречневые хлопья Агро-Альянс,11.0,2.0,74.0,370
Гречневые хлопья Алтайская сказка,12.8,3.4,66.1,346
Гречневые хлопья Мистраль,12.6,2.3,59.0,345
Гречневые хлопья Пассим,9.5,2.3,65.8,322
Каша 4-х зерновая Myllyn Paras,11.4,2.8,61.1,320
Каша 7 злаков Маtti,12.0,5.0,56.0,320
Киноа,14.1,6.1,57.2,368
Киноа Мистраль,14.0,6.0,64.0,368
Котлеты гречневые Мистраль,12.0,3.0,58.0,310
Котлеты нутовые Вкусное дело,20.8,1.8,49.7,288
Котлеты нутовые Мистраль,12.0,12.0,53.0,360
Котлеты чечевичные Вкусное дело,19.2,2.2,54.8,307
Крупа Увелка Дружба рис и пшено,8.0,1.0,77.0,350
Кукурузная крупа,8.3,1.2,75.0,337
Кукурузная крупа Makfa,8.3,1.2,71.0,328
Кукурузная крупа Makfa в пакетиках,8.3,1.2,71.0,328
Кукурузная манка Гарнец безглютеновая,23.0,1.6,50.8,314
Кукурузные хлопья,6.9,2.5,83.6,363
Кукурузные хлопья 365 дней,7.5,1.5,78.0,360
Кукурузные хлопья Алтайская сказка,8.3,1.2,75.0,325
Кукурузные хлопья На здоровье Кунцево,6.5,1.0,89.0,390
Кус-кус приготовленный,3.8,0.2,21.8,112
Кус-кус сухой,12.8,0.6,72.4,376
Кускус Агро-Альянс,12.0,2.5,75.0,370
Кускус Готово! с томатами,13.0,1.6,73.0,350
Льняная каша с кунжутом,34.0,14.0,12.0,312
Льняные отруби Dr. Dias,30.0,10.0,10.0,250
Льняные отруби Dr. Dias с семечкой,30.0,10.0,10.0,250
Манная каша на воде,2.5,0.2,16.8,80
Манная каша на молоке,3.0,3.2,15.3,98
Манная крупа,10.3,1.0,67.4,328
Манная крупа Makfa,10.3,1.0,70.6,333
Манная крупа Myllyn Paras,12.0,2.0,69.0,348
Манная крупа Агро-Альянс,10.0,1.0,69.0,330
Манная крупа Мистраль Семолина,14.1,1.6,69.7,348
Манная крупа с отрубями БИО Черный хлеб,13.1,4.6,61.5,340
Мюсли AXA хрустящие медовые с фруктами и орехами,7.8,13.1,56.7,376
Мюсли Horeca Select с фруктами и орехами,11.4,7.8,56.7,363
Мюсли Matti Банан и Шоколад,7.0,13.0,62.0,390
Мюсли Matti Ежевика и Малина,7.5,13.0,62.0,390
Мюсли Matti Орех и Яблоко,7.0,13.0,59.0,380
Мюсли Vitalis фруктовые,7.8,4.6,61.1,317
Мюсли Vitalis шоколадные,10.0,13.0,62.0,400
Мюсли Бон,8.8,5.1,62.6,333
Мюсли Ого! запеченные с бананом,9.0,18.0,60.0,460
Мюсли Эпоха злаков Фруктовый сад,9.3,4.4,63.0,328
Нут Агро-Альянс,20.0,5.0,66.0,390
Нут Мистраль,18.2,9.4,62.6,385
Нут Ярмарка Платинум,20.1,4.3,55.1,320
Овсяная каша Myllyn Paras,14.0,7.5,56.0,350
Овсяная каша Myllyn Paras вкус сливок с клубникой,10.2,16.6,53.9,406
Овсяная каша Myllyn Paras вкус сливок с малиной,10.3,14.9,54.7,394
Овсяная каша Myllyn Paras вкус сливок с черникой,10.7,15.0,58.0,410
Овсяная каша Myllyn Paras с дыней,10.8,5.8,62.8,347
Овсяная каша Myllyn Paras с дыней и сахаром,11.5,7.7,61.9,362
Овсяная каша Myllyn Paras с клубникой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с клубникой и сахаром,11.9,7.9,60.8,362
Овсяная каша Myllyn Paras с клюквой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с лесными ягодами и сахаром,11.6,7.7,61.8,363
Овсяная каша Myllyn Paras с малиной и сахаром,11.9,7.9,60.8,362
"Овсяная каша Myllyn Paras с отрубями, вишней и сливой",15.5,7.2,50.6,333
"Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной",15.2,7.0,51.1,333
Овсяная каша Myllyn Paras с персиком без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с персиком и сахаром,11.6,7.6,60.7,357
Овсяная каша Myllyn Paras с тропическими фруктами,11.1,5.8,62.8,348
Овсяная каша Myllyn Paras с черникой без сахара,11.9,7.9,56.3,353
Овсяная каша Myllyn Paras с черникой и сахаром,11.6,7.7,61.7,362
Овсяная каша Myllyn Paras с шоколадом и апельсином,10.5,8.0,62.2,363
